station_name,measurement_timestamp,solar_radiation,radiation_danger,hour_e,day_e,month_e,year_e,Sensor_Latitude,Sensor_Longitude
Foster Weather Station,2016-12-16 13:00:00,0,Safe,13,16,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-15 14:00:00,273,Moderately safe,14,15,12,2016,41.780992,-87.572619
63rd Street Weather Station,2016-12-15 12:00:00,425,Slightly dangerous,12,15,12,2016,41.780992,-87.572619
63rd Street Weather Station,2016-12-15 11:00:00,418,Slightly dangerous,11,15,12,2016,41.780992,-87.572619
Oak Street Weather Station,2016-12-15 10:00:00,327,Moderately safe,10,15,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-15 08:00:00,35,Safe,8,15,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-15 07:00:00,0,Safe,7,15,12,2016,41.976464,-87.647525
Foster Weather Station,2016-12-15 06:00:00,0,Safe,6,15,12,2016,41.976464,-87.647525
Foster Weather Station,2016-12-15 01:00:00,0,Safe,1,15,12,2016,41.976464,-87.647525
Foster Weather Station,2016-12-14 21:00:00,0,Safe,21,14,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-14 18:00:00,6,Safe,18,14,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-14 13:00:00,0,Safe,13,14,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-14 08:00:00,29,Safe,8,14,12,2016,41.901997,-87.622817
Foster Weather Station,2016-12-14 04:00:00,0,Safe,4,14,12,2016,41.976464,-87.647525
Foster Weather Station,2016-12-14 01:00:00,0,Safe,1,14,12,2016,41.976464,-87.647525
63rd Street Weather Station,2016-12-13 22:00:00,7,Safe,22,13,12,2016,41.780992,-87.572619
Foster Weather Station,2016-12-13 17:00:00,0,Safe,17,13,12,2016,41.976464,-87.647525
Oak Street Weather Station,2016-12-13 13:00:00,188,Safe,13,13,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-13 12:00:00,33,Safe,12,13,12,2016,41.901997,-87.622817
Oak Street Weather Station,2016-12-13 10:00:00,67,Safe,10,13,12,2016,41.901997,-87.622817
63rd Street Weather Station,2016-12-13 06:00:00,5,Safe,6,13,12,2016,41.780992,-87.572619
